Date;Prix action;Prix option strike 6;Prix option strike 6,5;;
02/10/2017;6,742;;;Pour questions 4 et 5 uniquement;
03/10/2017;6,955;;;;
04/10/2017;6,91;1,02096;0,59093;;
05/10/2017;7,006;1,09932;0,65885;;
06/10/2017;7;1,09306;0,6544;;
09/10/2017;6,95;1,04813;0,61591;;
10/10/2017;6,856;0,96879;0,54811;;
11/10/2017;6,795;0,91992;0,51253;;
12/10/2017;6,744;0,88119;0,49517;;
13/10/2017;6,561;0,74526;0,41163;;
16/10/2017;6,598;0,79589;0,50591;;
17/10/2017;6,613;0,81651;0,55365;;
18/10/2017;6,661;0,85649;0,60399;;
19/10/2017;6,623;0,82623;0,58326;;
20/10/2017;6,837;0,99287;0,7254;;
23/10/2017;6,805;0,95646;0,65498;;
24/10/2017;6,932;1,05077;0,70865;;
25/10/2017;6,849;0,9757;0,61819;;
26/10/2017;6,807;0,93717;0,57253;;
27/10/2017;6,84;0,96132;0,58895;;
30/10/2017;6,813;0,93569;0,55989;;
31/10/2017;6,732;0,86937;0,50583;;
01/11/2017;6,759;0,89432;0,54307;;
02/11/2017;6,753;0,88961;0,54496;;
03/11/2017;6,723;0,86589;0,53157;;
06/11/2017;6,631;0,79622;0,48815;;
07/11/2017;6,61;0,7911;0,51304;;
08/11/2017;6,765;0,91841;0,63652;;
09/11/2017;6,615;0,79811;0,52424;;
10/11/2017;6,643;0,8279;0,56862;;
13/11/2017;6,513;0,73292;0,50405;;
14/11/2017;6,438;0,70044;0,5082;;
15/11/2017;6,455;0,73751;0,56605;;
16/11/2017;6,542;0,81155;0,64265;;
17/11/2017;6,533;0,80203;0,63603;;
20/11/2017;6,473;0,75688;0,6017;;
21/11/2017;6,546;0,8161;0,65789;;
22/11/2017;6,502;0,77996;0,6256;;
23/11/2017;6,514;0,79057;0,63768;;
24/11/2017;6,593;0,8455;0,68214;;
27/11/2017;6,528;0,78731;0,62331;;
28/11/2017;6,498;0,76735;0,60957;;
29/11/2017;6,686;0,9072;0,72591;;
30/11/2017;6,81;0,98481;0,75744;;
01/12/2017;6,654;0,84506;0,5974;;
04/12/2017;6,819;0,96818;0,69416;;
05/12/2017;6,717;0,8756;0,58457;;
06/12/2017;6,622;0,79821;0,52115;;
07/12/2017;6,766;0,91394;0,62962;;
08/12/2017;6,728;0,87696;0,58123;;
11/12/2017;6,787;0,9185;0,60839;;
12/12/2017;6,807;0,92887;0,59986;;
13/12/2017;6,587;0,75126;0,4465;;
14/12/2017;6,585;0,76575;0,49367;;
15/12/2017;6,636;0,81209;0,55442;;
18/12/2017;6,755;0,90346;0,63276;;
19/12/2017;6,672;0,83111;0,55537;;
20/12/2017;6,623;0,7934;0,53042;;
21/12/2017;6,741;0,88804;0,61653;;
22/12/2017;6,681;0,83527;0,55869;;
27/12/2017;6,648;0,80714;0,53768;;
28/12/2017;6,635;0,79893;0,53954;;
29/12/2017;6,596;0,7716;0,52691;;
02/01/2018;6,676;0,83662;0,58894;;
03/01/2018;6,672;0,83021;0,57709;;
04/01/2018;6,908;1,01624;0,71897;;
05/01/2018;6,888;0,99148;0,6563;;
08/01/2018;6,9;0,99289;0,62807;;
09/01/2018;6,994;1,06776;0,66942;;
10/01/2018;7,04;1,10489;0,68699;;
11/01/2018;7,11;1,16475;0,73099;;
12/01/2018;7,114;1,16756;0,73167;;
15/01/2018;7,122;1,17314;0,73509;;
16/01/2018;7,12;1,17063;0,73244;;
17/01/2018;7,19;1,23345;0,78742;;
18/01/2018;7,288;1,32426;0,87193;;
19/01/2018;7,234;1,27637;0,8359;;
22/01/2018;7,39;1,42073;0,96754;;
23/01/2018;7,426;1,45691;1,00849;;
24/01/2018;7,35;1,38755;0,9532;;
25/01/2018;7,404;1,43801;1,00021;;
26/01/2018;7,386;1,42191;0,98934;;
29/01/2018;7,364;1,401;0,97188;;
30/01/2018;7,308;1,34885;0,92582;;
31/01/2018;7,334;1,37198;0,94368;;
01/02/2018;7,378;1,41235;0,97891;;
02/02/2018;7,288;1,32929;0,90687;;
05/02/2018;7,144;1,1969;0,78819;;
06/02/2018;6,824;0,91622;0,54453;;
07/02/2018;7,118;1,17087;0,74938;;
08/02/2018;7,064;1,12193;0,70105;;
09/02/2018;6,962;1,02888;0,61433;;
12/02/2018;7,094;1,14292;0,70304;;
13/02/2018;7,064;1,11527;0,67782;;
14/02/2018;7,068;1,11724;0,67708;;
15/02/2018;7,026;1,07826;0,6417;;
16/02/2018;7,074;1,1203;0,67535;;
19/02/2018;7,17;1,20689;0,75169;;
20/02/2018;7,062;1,10948;0,67034;;
21/02/2018;7,074;1,1199;0,67746;;
22/02/2018;7,106;1,14797;0,70103;;
23/02/2018;7,056;1,10239;0,66194;;
26/02/2018;6,988;1,04037;0,60644;;
27/02/2018;7,076;1,11873;0,67066;;
28/02/2018;7,1;1,1406;0,69056;;
01/03/2018;7,008;1,05725;0,61941;;
02/03/2018;6,722;0,81028;0,4137;;
05/03/2018;6,74;0,83109;0,45415;;
06/03/2018;6,792;0,8753;0,50159;;
07/03/2018;6,814;0,89279;0,51428;;
08/03/2018;6,906;0,97002;0,5719;;
09/03/2018;6,89;0,95422;0,54722;;
12/03/2018;6,926;0,9831;0,56316;;
13/03/2018;6,932;0,98693;0,55993;;
14/03/2018;6,902;0,95919;0,53208;;
15/03/2018;6,884;0,94273;0,51591;;
16/03/2018;6,91;0,96498;0,53358;;
19/03/2018;6,858;0,91828;0,49264;;
20/03/2018;6,948;0,99762;0,56082;;
21/03/2018;6,944;0,99379;0,55523;;
22/03/2018;6,744;0,81963;0,41079;;
23/03/2018;6,67;0,76355;0,3892;;
26/03/2018;6,624;0,73232;0,39527;;
27/03/2018;6,756;0,84673;0,51057;;
28/03/2018;6,686;0,78752;0,4603;;
29/03/2018;6,658;0,76645;0,45462;;
03/04/2018;6,65;0,76051;0,46113;;
04/04/2018;6,434;0,59863;0,35425;;
05/04/2018;6,65;0,78753;0,52958;;
06/04/2018;6,556;0,71137;0,46824;;
09/04/2018;6,652;0,78758;0,53612;;
10/04/2018;6,698;0,81791;0,55149;;
11/04/2018;6,568;0,70857;0,45585;;
12/04/2018;6,696;0,81393;0,547;;
13/04/2018;6,648;0,76953;0,50022;;
16/04/2018;6,644;0,76305;0,49388;;
17/04/2018;6,634;0,75324;0,48663;;
18/04/2018;6,588;0,7167;0,46139;;
19/04/2018;6,66;0,7767;0,5144;;
20/04/2018;6,592;0,72031;0,46649;;
23/04/2018;6,67;0,7835;0,51941;;
24/04/2018;6,74;0,8363;0,55053;;
25/04/2018;6,658;0,76322;0,47639;;
26/04/2018;6,72;0,81334;0,51558;;
27/04/2018;6,748;0,83265;0,51962;;
30/04/2018;6,812;0,88166;0,54349;;
02/05/2018;6,924;0,97472;0,59695;;
03/05/2018;6,796;0,85913;0,48326;;
04/05/2018;6,838;0,89442;0,50665;;
07/05/2018;6,864;0,91428;0,51304;;
08/05/2018;6,8;0,85614;0,458;;
09/05/2018;6,816;0,86979;0,47017;;
10/05/2018;6,91;0,95205;0,53496;;
11/05/2018;6,94;0,97794;0,54821;;
14/05/2018;6,872;0,91482;0,48911;;
15/05/2018;6,882;0,92327;0,49391;;
16/05/2018;6,778;0,83044;0,41667;;
17/05/2018;6,826;0,87408;0,46178;;
18/05/2018;7,034;1,06197;0,61827;;
21/05/2018;7,066;1,09115;0,63947;;
22/05/2018;7,168;1,18634;0,7222;;
23/05/2018;7,044;1,07015;0,62187;;
24/05/2018;7,016;1,04367;0,59604;;
25/05/2018;6,95;0,9819;0,53996;;
28/05/2018;6,564;0,64574;0,27411;;
29/05/2018;6,25;0,43479;0,18587;;
30/05/2018;6,26;0,49401;0,28095;;
31/05/2018;6,198;0,48715;0,31362;;
01/06/2018;6,29;0,57564;0,40623;;
04/06/2018;6,282;0,57829;0,42213;;
05/06/2018;6,224;0,54831;0,41032;;
06/06/2018;6,262;0,58418;0,44744;;
07/06/2018;6,34;0,63725;0,4929;;
08/06/2018;6,28;0,59104;0,45652;;
11/06/2018;6,446;0,70065;0,54156;;
12/06/2018;6,426;0,66899;0,50731;;
13/06/2018;6,378;0,62409;0,46793;;
14/06/2018;6,39;0,6295;0,47151;;
15/06/2018;6,244;0,52989;0,39642;;
18/06/2018;6,188;0,51007;0,388;;
19/06/2018;6,158;0,50927;0,39468;;
20/06/2018;6,16;0,52543;0,41291;;
21/06/2018;6,064;0,47961;0,38191;;
22/06/2018;6,108;0,52345;0,4212;;
25/06/2018;6,002;0,46885;0,38025;;
26/06/2018;6,018;0,4949;0,40494;;
27/06/2018;6,006;0,49713;0,40927;;
28/06/2018;5,98;0,4901;0,4057;;
29/06/2018;6,078;0,55164;0,45615;;
02/07/2018;5,984;0,49176;0,40599;;
03/07/2018;5,98;0,49594;0,41053;;
04/07/2018;6,004;0,5122;0,42431;;
05/07/2018;6,06;0,54262;0,44814;;
06/07/2018;6,038;0,52375;0,43123;;
09/07/2018;6,106;0,55627;0,45468;;
10/07/2018;6,092;0,5387;0,43785;;
11/07/2018;6,038;0,50222;0,40767;;
12/07/2018;6,05;0,51062;0,41438;;
13/07/2018;6,03;0,49851;0,40462;;
16/07/2018;6;0,48043;0,38954;;
17/07/2018;5,956;0,46062;0,37489;;
18/07/2018;5,97;0,47487;0,3874;;
19/07/2018;5,962;0,47314;0,38655;;
20/07/2018;5,892;0,43893;0,36024;;
23/07/2018;5,866;0,43154;0,35488;;
24/07/2018;6,036;0,5287;0,43275;;
25/07/2018;6;0,49829;0,40528;;
26/07/2018;5,978;0,48068;0,39002;;
27/07/2018;6,034;0,50866;0,41114;;
30/07/2018;6,076;0,52147;0,41745;;
31/07/2018;6,15;0,55389;0,43936;;
01/08/2018;6,078;0,49729;0,39102;;
02/08/2018;6,036;0,47051;0,36942;;
03/08/2018;6,122;0,52029;0,40751;;
06/08/2018;6,042;0,46399;0,36071;;
07/08/2018;6,184;0,54797;0,4246;;
08/08/2018;6,188;0,53743;0,41166;;
09/08/2018;6,158;0,50807;0,38591;;
10/08/2018;6,018;0,42363;0,32173;;
13/08/2018;5,914;0,37776;0,28934;;
14/08/2018;5,892;0,38357;0,29767;;
15/08/2018;5,818;0,35991;0,28298;;
16/08/2018;5,85;0,39041;0,3093;;
17/08/2018;5,794;0,37034;0,29549;;
20/08/2018;5,86;0,40791;0,32482;;
21/08/2018;5,862;0,40916;0,32558;;
22/08/2018;5,908;0,43099;0,342;;
23/08/2018;5,888;0,41585;0,32896;;
24/08/2018;5,91;0,42442;0,33473;;
27/08/2018;5,948;0,43608;0,34091;;
28/08/2018;5,93;0,42003;0,32678;;
29/08/2018;5,852;0,37724;0,29347;;
30/08/2018;5,792;0,35284;0,27567;;
31/08/2018;5,75;0,3406;0,26769;;
03/09/2018;5,776;0,35619;0,27953;;
04/09/2018;5,786;0,36317;0,28513;;
05/09/2018;5,832;0,38504;0,30155;;
06/09/2018;5,804;0,36781;0,28733;;
07/09/2018;5,732;0,33359;0,26106;;
10/09/2018;5,782;0,35693;0,27783;;
11/09/2018;5,794;0,36098;0,28025;;
12/09/2018;5,776;0,34965;0,27094;;
13/09/2018;5,954;0,43583;0,33518;;
14/09/2018;5,85;0,36927;0,28105;;
17/09/2018;5,882;0,37799;0,28491;;
18/09/2018;5,974;0,41905;0,3136;;
19/09/2018;6,032;0,43855;0,32432;;
20/09/2018;6,044;0,43125;0,31467;;
21/09/2018;6,114;0,45905;0,33107;;
24/09/2018;6,066;0,4138;0,29192;;
25/09/2018;6,072;0,41066;0,28737;;
26/09/2018;6,042;0,38804;0,26952;;
27/09/2018;6,028;0,37835;0,26191;;
28/09/2018;5,844;0,28498;0,19737;;
01/10/2018;5,724;0,24261;0,16974;;
02/10/2018;5,69;0,24491;0,17452;;
03/10/2018;5,726;0,27191;0,19592;;
02/10/2018;5,69;0,24491;0,17452;;
03/10/2018;5,726;0,27191;0,19592;;
